missing_count,has_camera_info,has_software,software_suspicious,has_timestamp,timestamp_consistent,timestamp_plausible,timestamp_future,exif_total_tags,has_gps,has_flash,has_orientation,image_path,label
0,0,1,1,1,1,0,1,52,0,1,0,fake_0.jpg,0
0,0,1,1,1,1,1,0,62,1,0,1,fake_1.jpg,0
0,0,0,0,1,1,1,0,39,0,0,0,fake_10.jpg,0
0,1,1,1,0,0,0,0,39,0,0,0,fake_100.jpg,0
7,0,1,0,0,0,0,0,13,0,0,1,fake_1000.jpg,0
0,1,0,0,0,0,0,0,22,1,0,0,fake_10000.jpg,0
0,0,1,0,1,1,1,0,60,0,0,1,fake_10001.jpg,0
0,1,1,0,1,1,1,0,70,1,1,0,fake_10002.jpg,0
0,1,1,1,1,1,1,0,82,1,0,1,fake_10003.jpg,0
0,0,0,0,1,1,0,1,49,1,0,1,fake_10004.jpg,0
0,0,0,0,1,0,1,0,40,0,0,1,fake_10005.jpg,0
5,0,1,1,0,0,0,0,15,0,1,1,fake_10006.jpg,0
0,0,1,0,1,1,0,1,60,0,1,1,fake_10007.jpg,0
0,0,1,1,0,0,0,0,24,1,1,1,fake_10008.jpg,0
0,0,1,1,0,0,0,0,21,0,1,0,fake_10009.jpg,0
0,0,0,0,1,0,1,0,40,0,0,1,fake_1001.jpg,0
7,0,1,0,0,0,0,0,13,0,1,0,fake_10010.jpg,0
6,0,1,1,0,0,0,0,14,0,1,0,fake_10011.jpg,0
0,0,0,0,1,0,1,0,40,0,0,1,fake_10012.jpg,0
0,0,1,1,0,0,0,0,30,1,1,0,fake_10013.jpg,0
0,0,1,1,1,1,1,0,59,0,1,0,fake_10014.jpg,0
0,0,1,0,1,0,1,0,49,0,1,0,fake_10015.jpg,0
0,0,0,0,1,1,1,0,39,0,0,0,fake_10016.jpg,0
0,0,1,0,1,1,1,0,60,0,0,1,fake_10017.jpg,0
0,0,1,1,1,1,1,0,49,0,0,1,fake_10018.jpg,0
0,0,0,0,1,0,1,0,40,0,0,1,fake_10019.jpg,0
0,0,1,0,1,1,1,0,59,0,1,0,fake_1002.jpg,0
0,0,1,0,1,1,1,0,50,0,0,1,fake_10020.jpg,0
0,0,1,1,0,0,0,0,20,0,0,0,fake_10021.jpg,0
0,1,1,0,0,0,0,0,34,0,0,1,fake_10022.jpg,0
7,0,1,1,0,0,0,0,13,0,0,0,fake_10023.jpg,0
0,1,1,1,1,0,1,0,59,0,0,0,fake_10024.jpg,0
0,0,0,0,1,1,1,0,40,0,0,1,fake_10025.jpg,0
0,0,1,1,1,1,1,0,53,0,0,1,fake_10026.jpg,0
0,0,1,0,1,1,1,0,52,0,0,1,fake_10027.jpg,0
0,0,1,0,1,0,1,0,49,0,0,0,fake_10028.jpg,0
0,1,1,0,1,0,1,0,59,0,0,1,fake_10029.jpg,0
0,0,1,1,1,1,0,1,53,0,0,1,fake_1003.jpg,0
0,0,1,1,1,0,1,0,58,1,1,1,fake_10030.jpg,0
0,0,1,1,1,1,0,1,53,0,1,1,fake_10031.jpg,0
0,1,1,0,0,0,0,0,34,0,1,1,fake_10032.jpg,0
0,0,1,1,1,0,1,0,60,0,0,1,fake_10033.jpg,0
9,0,1,0,0,0,0,0,11,0,0,1,fake_10034.jpg,0
19,0,0,0,0,0,0,0,1,0,0,1,fake_10035.jpg,0
0,1,0,0,1,0,1,0,52,0,0,1,fake_10036.jpg,0
0,0,1,0,0,0,0,0,20,1,0,1,fake_10037.jpg,0
0,0,1,1,1,1,1,0,53,0,1,1,fake_10038.jpg,0
0,0,1,1,1,0,1,0,53,0,0,1,fake_10039.jpg,0
0,0,0,0,1,1,1,0,40,0,1,1,fake_1004.jpg,0
0,0,1,1,0,0,0,0,22,1,0,0,fake_10040.jpg,0
0,0,1,0,1,0,1,0,59,1,0,1,fake_10041.jpg,0
5,0,1,1,0,0,0,0,15,0,1,1,fake_10042.jpg,0
0,0,1,0,1,1,1,0,61,1,0,1,fake_10043.jpg,0
0,0,1,1,1,1,0,1,59,0,1,0,fake_10044.jpg,0
0,0,0,0,1,1,0,1,40,0,0,1,fake_10045.jpg,0
0,0,1,0,1,1,1,0,60,0,0,1,fake_10046.jpg,0
10,0,1,1,0,0,0,0,10,0,1,0,fake_10047.jpg,0
0,0,1,0,0,0,0,0,21,0,0,1,fake_10048.jpg,0
0,0,1,0,1,0,1,0,50,0,0,1,fake_10049.jpg,0
0,0,1,0,1,0,1,0,51,0,1,0,fake_1005.jpg,0
0,1,1,1,1,0,1,0,78,0,0,0,fake_10050.jpg,0
0,0,1,0,1,1,0,1,60,0,0,1,fake_10051.jpg,0
0,1,1,0,1,1,0,1,72,0,1,1,fake_10052.jpg,0
10,0,1,1,0,0,0,0,10,0,0,1,fake_10053.jpg,0
0,1,1,1,1,1,1,0,67,0,1,1,fake_10054.jpg,0
0,0,1,0,0,0,0,0,22,0,1,1,fake_10055.jpg,0
0,0,1,0,1,1,1,0,60,0,1,1,fake_10056.jpg,0
0,1,0,0,1,1,1,0,59,0,0,1,fake_10057.jpg,0
0,0,0,0,1,0,1,0,40,0,1,1,fake_10058.jpg,0
19,0,0,0,0,0,0,0,1,0,0,1,fake_10059.jpg,0
0,0,1,1,1,1,1,0,49,0,1,1,fake_1006.jpg,0
9,0,1,0,0,0,0,0,11,0,1,0,fake_10060.jpg,0
0,0,1,1,1,1,0,1,60,0,0,1,fake_10061.jpg,0
0,0,1,0,1,1,1,0,49,0,0,0,fake_10062.jpg,0
0,0,1,0,1,1,0,1,69,1,0,1,fake_10063.jpg,0
0,0,1,0,0,0,0,0,22,0,1,1,fake_10064.jpg,0
0,0,1,0,1,1,1,0,60,1,1,0,fake_10065.jpg,0
0,1,1,1,1,0,1,0,55,0,0,0,fake_10066.jpg,0
0,0,1,1,1,0,1,0,49,0,1,1,fake_10067.jpg,0
0,0,1,1,1,1,0,1,59,0,0,0,fake_10068.jpg,0
0,0,0,0,1,1,1,0,40,0,1,1,fake_10069.jpg,0
0,0,1,1,1,0,1,0,48,0,0,0,fake_1007.jpg,0
0,0,1,1,1,0,1,0,58,1,0,1,fake_10070.jpg,0
19,0,0,0,0,0,0,0,1,0,0,1,fake_10071.jpg,0
